"hazard","offers_before_rescue","strata"
0.0052834839073603,1,"d_bloodgroup=A, donor_country=Belgium"
0.00981272468539782,2,"d_bloodgroup=A, donor_country=Belgium"
0.0323888811937327,3,"d_bloodgroup=A, donor_country=Belgium"
0.0684184978129245,4,"d_bloodgroup=A, donor_country=Belgium"
0.0942712316769015,5,"d_bloodgroup=A, donor_country=Belgium"
0.127114983402059,6,"d_bloodgroup=A, donor_country=Belgium"
0.172560075369404,7,"d_bloodgroup=A, donor_country=Belgium"
0.199331967433398,8,"d_bloodgroup=A, donor_country=Belgium"
0.251956208240415,9,"d_bloodgroup=A, donor_country=Belgium"
0.315958288263875,10,"d_bloodgroup=A, donor_country=Belgium"
0.355823837728024,11,"d_bloodgroup=A, donor_country=Belgium"
0.458967863010074,12,"d_bloodgroup=A, donor_country=Belgium"
0.615384766108232,13,"d_bloodgroup=A, donor_country=Belgium"
0.669083057260139,14,"d_bloodgroup=A, donor_country=Belgium"
0.806376147968406,15,"d_bloodgroup=A, donor_country=Belgium"
1.07499931430887,16,"d_bloodgroup=A, donor_country=Belgium"
1.39727900788153,19,"d_bloodgroup=A, donor_country=Belgium"
2.30722777706615,25,"d_bloodgroup=A, donor_country=Belgium"
0.00285773474397029,1,"d_bloodgroup=A, donor_country=Germany"
0.0137322853467242,2,"d_bloodgroup=A, donor_country=Germany"
0.0356106394422447,3,"d_bloodgroup=A, donor_country=Germany"
0.070519051487682,4,"d_bloodgroup=A, donor_country=Germany"
0.11975564476412,5,"d_bloodgroup=A, donor_country=Germany"
0.168614706138817,6,"d_bloodgroup=A, donor_country=Germany"
0.225010614542857,7,"d_bloodgroup=A, donor_country=Germany"
0.285335043527262,8,"d_bloodgroup=A, donor_country=Germany"
0.359512669736139,9,"d_bloodgroup=A, donor_country=Germany"
0.46025755779383,10,"d_bloodgroup=A, donor_country=Germany"
0.54248848452398,11,"d_bloodgroup=A, donor_country=Germany"
0.639745954050173,12,"d_bloodgroup=A, donor_country=Germany"
0.761549794998922,13,"d_bloodgroup=A, donor_country=Germany"
0.899545079527866,14,"d_bloodgroup=A, donor_country=Germany"
0.986723165650172,15,"d_bloodgroup=A, donor_country=Germany"
1.17060694952441,16,"d_bloodgroup=A, donor_country=Germany"
1.3216229612072,17,"d_bloodgroup=A, donor_country=Germany"
1.45984838187401,18,"d_bloodgroup=A, donor_country=Germany"
1.62987135668295,19,"d_bloodgroup=A, donor_country=Germany"
1.82455019796796,20,"d_bloodgroup=A, donor_country=Germany"
1.981953334309,21,"d_bloodgroup=A, donor_country=Germany"
2.20911596217929,22,"d_bloodgroup=A, donor_country=Germany"
2.53320748316149,23,"d_bloodgroup=A, donor_country=Germany"
2.63589721119399,24,"d_bloodgroup=A, donor_country=Germany"
2.76451882356182,25,"d_bloodgroup=A, donor_country=Germany"
3.08110575850242,27,"d_bloodgroup=A, donor_country=Germany"
3.93634938545035,30,"d_bloodgroup=A, donor_country=Germany"
0,1,"d_bloodgroup=A, donor_country=Austria"
0.0107535714766975,2,"d_bloodgroup=A, donor_country=Austria"
0.0439850494137002,3,"d_bloodgroup=A, donor_country=Austria"
0.0910565763047214,4,"d_bloodgroup=A, donor_country=Austria"
0.118254150879738,5,"d_bloodgroup=A, donor_country=Austria"
0.156840849005904,6,"d_bloodgroup=A, donor_country=Austria"
0.184124450404405,7,"d_bloodgroup=A, donor_country=Austria"
0.403745790603348,9,"d_bloodgroup=A, donor_country=Austria"
0.46295298042625,10,"d_bloodgroup=A, donor_country=Austria"
0.536494236590213,11,"d_bloodgroup=A, donor_country=Austria"
0.656276610838436,13,"d_bloodgroup=A, donor_country=Austria"
0.856082398574724,14,"d_bloodgroup=A, donor_country=Austria"
0.00182035417588622,1,"d_bloodgroup=A, donor_country=Netherlands"
0.0104364845215879,2,"d_bloodgroup=A, donor_country=Netherlands"
0.0295770551956982,3,"d_bloodgroup=A, donor_country=Netherlands"
0.040342972578446,4,"d_bloodgroup=A, donor_country=Netherlands"
0.0553681793498131,5,"d_bloodgroup=A, donor_country=Netherlands"
0.0622165591078046,6,"d_bloodgroup=A, donor_country=Netherlands"
0.138721890453083,7,"d_bloodgroup=A, donor_country=Netherlands"
0.165815449634423,8,"d_bloodgroup=A, donor_country=Netherlands"
0.218373637286525,9,"d_bloodgroup=A, donor_country=Netherlands"
0.273141467424207,10,"d_bloodgroup=A, donor_country=Netherlands"
0.31083130059902,11,"d_bloodgroup=A, donor_country=Netherlands"
0.468290048590909,12,"d_bloodgroup=A, donor_country=Netherlands"
0.534818600750444,13,"d_bloodgroup=A, donor_country=Netherlands"
0.64900110026246,14,"d_bloodgroup=A, donor_country=Netherlands"
0.927219944183437,15,"d_bloodgroup=A, donor_country=Netherlands"
1.1875171611441,20,"d_bloodgroup=A, donor_country=Netherlands"
0,1,"d_bloodgroup=A, donor_country=Hungary"
0.019783004896347,3,"d_bloodgroup=A, donor_country=Hungary"
0.0556719841794932,4,"d_bloodgroup=A, donor_country=Hungary"
0.160571096236432,5,"d_bloodgroup=A, donor_country=Hungary"
0.219717079866708,6,"d_bloodgroup=A, donor_country=Hungary"
0.349850325154323,7,"d_bloodgroup=A, donor_country=Hungary"
0.407964393387426,8,"d_bloodgroup=A, donor_country=Hungary"
0.597400566853096,12,"d_bloodgroup=A, donor_country=Hungary"
1.13781660533283,13,"d_bloodgroup=A, donor_country=Hungary"
1.99917329514023,19,"d_bloodgroup=A, donor_country=Hungary"
0,1,"d_bloodgroup=A, donor_country=Croatia"
0.0220806100866369,3,"d_bloodgroup=A, donor_country=Croatia"
0.0783764748456867,4,"d_bloodgroup=A, donor_country=Croatia"
0.25998736802891,8,"d_bloodgroup=A, donor_country=Croatia"
0.394780186612618,11,"d_bloodgroup=A, donor_country=Croatia"
0.546490406674038,12,"d_bloodgroup=A, donor_country=Croatia"
0.879667612629866,13,"d_bloodgroup=A, donor_country=Croatia"
1.37628031286797,18,"d_bloodgroup=A, donor_country=Croatia"
2.3191944594967,19,"d_bloodgroup=A, donor_country=Croatia"
0,1,"d_bloodgroup=A, donor_country=Slovenia"
0.0115646581749531,2,"d_bloodgroup=A, donor_country=Slovenia"
0.0628099722609008,4,"d_bloodgroup=A, donor_country=Slovenia"
0.131919642649916,5,"d_bloodgroup=A, donor_country=Slovenia"
0.255898957404576,6,"d_bloodgroup=A, donor_country=Slovenia"
0.362283325403624,9,"d_bloodgroup=A, donor_country=Slovenia"
0.681567835627875,12,"d_bloodgroup=A, donor_country=Slovenia"
1.59179211335946,27,"d_bloodgroup=A, donor_country=Slovenia"
0.001927024863296,1,"d_bloodgroup=O, donor_country=Belgium"
0.00559751015081638,2,"d_bloodgroup=O, donor_country=Belgium"
0.0183261531514134,3,"d_bloodgroup=O, donor_country=Belgium"
0.024068060458551,4,"d_bloodgroup=O, donor_country=Belgium"
0.0428206673854884,5,"d_bloodgroup=O, donor_country=Belgium"
0.0866968012247137,6,"d_bloodgroup=O, donor_country=Belgium"
0.115616060028197,7,"d_bloodgroup=O, donor_country=Belgium"
0.179210523877832,8,"d_bloodgroup=O, donor_country=Belgium"
0.208665175073289,9,"d_bloodgroup=O, donor_country=Belgium"
0.255029295842724,10,"d_bloodgroup=O, donor_country=Belgium"
0.297171026301829,11,"d_bloodgroup=O, donor_country=Belgium"
0.337970050245163,12,"d_bloodgroup=O, donor_country=Belgium"
0.436811633437082,13,"d_bloodgroup=O, donor_country=Belgium"
0.5458053316535,14,"d_bloodgroup=O, donor_country=Belgium"
0.618941122196533,15,"d_bloodgroup=O, donor_country=Belgium"
0.71354175837991,16,"d_bloodgroup=O, donor_country=Belgium"
0.824634997669858,20,"d_bloodgroup=O, donor_country=Belgium"
1.06574523901385,24,"d_bloodgroup=O, donor_country=Belgium"
1.40265491460895,26,"d_bloodgroup=O, donor_country=Belgium"
0.000389602174666172,1,"d_bloodgroup=O, donor_country=Germany"
0.00377623644990086,2,"d_bloodgroup=O, donor_country=Germany"
0.0140107176736253,3,"d_bloodgroup=O, donor_country=Germany"
0.0390921937873145,4,"d_bloodgroup=O, donor_country=Germany"
0.056882814127337,5,"d_bloodgroup=O, donor_country=Germany"
0.0967691529496875,6,"d_bloodgroup=O, donor_country=Germany"
0.150429964858974,7,"d_bloodgroup=O, donor_country=Germany"
0.201232368705839,8,"d_bloodgroup=O, donor_country=Germany"
0.261328079795967,9,"d_bloodgroup=O, donor_country=Germany"
0.345363419033588,10,"d_bloodgroup=O, donor_country=Germany"
0.447797131982325,11,"d_bloodgroup=O, donor_country=Germany"
0.536495208611749,12,"d_bloodgroup=O, donor_country=Germany"
0.641458465884273,13,"d_bloodgroup=O, donor_country=Germany"
0.74881677746017,14,"d_bloodgroup=O, donor_country=Germany"
0.882030401172342,15,"d_bloodgroup=O, donor_country=Germany"
1.00060073603125,16,"d_bloodgroup=O, donor_country=Germany"
1.13105505611516,17,"d_bloodgroup=O, donor_country=Germany"
1.30073060993828,18,"d_bloodgroup=O, donor_country=Germany"
1.40820495223749,19,"d_bloodgroup=O, donor_country=Germany"
1.54724818111457,20,"d_bloodgroup=O, donor_country=Germany"
1.70648385375637,21,"d_bloodgroup=O, donor_country=Germany"
1.7709590132586,22,"d_bloodgroup=O, donor_country=Germany"
1.81170522333724,24,"d_bloodgroup=O, donor_country=Germany"
1.90994129085662,25,"d_bloodgroup=O, donor_country=Germany"
1.97118731941818,26,"d_bloodgroup=O, donor_country=Germany"
2.10492743350006,28,"d_bloodgroup=O, donor_country=Germany"
2.45048951984378,32,"d_bloodgroup=O, donor_country=Germany"
3.43518529528443,36,"d_bloodgroup=O, donor_country=Germany"
0,1,"d_bloodgroup=O, donor_country=Austria"
0.00629566813305572,2,"d_bloodgroup=O, donor_country=Austria"
0.0187336252841962,3,"d_bloodgroup=O, donor_country=Austria"
0.0463675503508788,4,"d_bloodgroup=O, donor_country=Austria"
0.0700550929280757,5,"d_bloodgroup=O, donor_country=Austria"
0.1178166374613,6,"d_bloodgroup=O, donor_country=Austria"
0.171108020276718,7,"d_bloodgroup=O, donor_country=Austria"
0.22171541278705,8,"d_bloodgroup=O, donor_country=Austria"
0.256956545056105,9,"d_bloodgroup=O, donor_country=Austria"
0.302346937449961,10,"d_bloodgroup=O, donor_country=Austria"
0.364489910659867,11,"d_bloodgroup=O, donor_country=Austria"
0.515171877719071,14,"d_bloodgroup=O, donor_country=Austria"
1.6604729082411,21,"d_bloodgroup=O, donor_country=Austria"
0,1,"d_bloodgroup=O, donor_country=Netherlands"
0.0103974995122479,2,"d_bloodgroup=O, donor_country=Netherlands"
0.0223351836063231,3,"d_bloodgroup=O, donor_country=Netherlands"
0.0358632228420097,4,"d_bloodgroup=O, donor_country=Netherlands"
0.0559899770328038,5,"d_bloodgroup=O, donor_country=Netherlands"
0.0703309704004951,6,"d_bloodgroup=O, donor_country=Netherlands"
0.0838238086335202,7,"d_bloodgroup=O, donor_country=Netherlands"
0.107515849781793,8,"d_bloodgroup=O, donor_country=Netherlands"
0.123162408011614,9,"d_bloodgroup=O, donor_country=Netherlands"
0.135616493034056,11,"d_bloodgroup=O, donor_country=Netherlands"
0.212510548473522,12,"d_bloodgroup=O, donor_country=Netherlands"
0.238715769612281,13,"d_bloodgroup=O, donor_country=Netherlands"
0.348666228220064,14,"d_bloodgroup=O, donor_country=Netherlands"
0.438077515739353,15,"d_bloodgroup=O, donor_country=Netherlands"
0.555907903815649,16,"d_bloodgroup=O, donor_country=Netherlands"
0.771559436115331,17,"d_bloodgroup=O, donor_country=Netherlands"
0.926270771490698,18,"d_bloodgroup=O, donor_country=Netherlands"
1.36546227158787,28,"d_bloodgroup=O, donor_country=Netherlands"
0,1,"d_bloodgroup=O, donor_country=Hungary"
0.0217187281932897,3,"d_bloodgroup=O, donor_country=Hungary"
0.0427431743956078,4,"d_bloodgroup=O, donor_country=Hungary"
0.0739218392284063,5,"d_bloodgroup=O, donor_country=Hungary"
0.154387518034937,6,"d_bloodgroup=O, donor_country=Hungary"
0.381458766779729,7,"d_bloodgroup=O, donor_country=Hungary"
0.427188510760678,8,"d_bloodgroup=O, donor_country=Hungary"
0.477162232219563,9,"d_bloodgroup=O, donor_country=Hungary"
0.557816777359889,11,"d_bloodgroup=O, donor_country=Hungary"
0.766242163534673,12,"d_bloodgroup=O, donor_country=Hungary"
0.942916577244076,14,"d_bloodgroup=O, donor_country=Hungary"
1.70880177190158,18,"d_bloodgroup=O, donor_country=Hungary"
0,1,"d_bloodgroup=O, donor_country=Croatia"
0.00433866884691855,3,"d_bloodgroup=O, donor_country=Croatia"
0.0111336616895584,4,"d_bloodgroup=O, donor_country=Croatia"
0.0321762248734049,5,"d_bloodgroup=O, donor_country=Croatia"
0.087621143504658,6,"d_bloodgroup=O, donor_country=Croatia"
0.172632711894151,7,"d_bloodgroup=O, donor_country=Croatia"
0.257432496110886,8,"d_bloodgroup=O, donor_country=Croatia"
0.308511928188733,9,"d_bloodgroup=O, donor_country=Croatia"
0.36893087188136,10,"d_bloodgroup=O, donor_country=Croatia"
0.437675278378781,11,"d_bloodgroup=O, donor_country=Croatia"
0.520727881064798,12,"d_bloodgroup=O, donor_country=Croatia"
1.03983277249908,13,"d_bloodgroup=O, donor_country=Croatia"
1.92978594585959,15,"d_bloodgroup=O, donor_country=Croatia"
0.00907930201150252,1,"d_bloodgroup=O, donor_country=Slovenia"
0.0230614540401839,3,"d_bloodgroup=O, donor_country=Slovenia"
0.0442291488156459,4,"d_bloodgroup=O, donor_country=Slovenia"
0.0978638060029928,5,"d_bloodgroup=O, donor_country=Slovenia"
0.173042259848405,8,"d_bloodgroup=O, donor_country=Slovenia"
0.265158921957501,9,"d_bloodgroup=O, donor_country=Slovenia"
0.368519686774138,10,"d_bloodgroup=O, donor_country=Slovenia"
0.500125359864802,11,"d_bloodgroup=O, donor_country=Slovenia"
0.929298748276681,12,"d_bloodgroup=O, donor_country=Slovenia"
1.84081118432446,14,"d_bloodgroup=O, donor_country=Slovenia"
0.0142346155526223,1,"d_bloodgroup=B, donor_country=Belgium"
0.0249754421174736,2,"d_bloodgroup=B, donor_country=Belgium"
0.06927270235872,3,"d_bloodgroup=B, donor_country=Belgium"
0.111270854836856,5,"d_bloodgroup=B, donor_country=Belgium"
0.193083721105751,7,"d_bloodgroup=B, donor_country=Belgium"
0.246427794089215,8,"d_bloodgroup=B, donor_country=Belgium"
0.329151645055965,10,"d_bloodgroup=B, donor_country=Belgium"
0.653401691212777,16,"d_bloodgroup=B, donor_country=Belgium"
1.54544297669574,24,"d_bloodgroup=B, donor_country=Belgium"
0,1,"d_bloodgroup=B, donor_country=Germany"
0.0151025196770847,2,"d_bloodgroup=B, donor_country=Germany"
0.0537841413118404,3,"d_bloodgroup=B, donor_country=Germany"
0.0863304211175813,4,"d_bloodgroup=B, donor_country=Germany"
0.139866307543901,5,"d_bloodgroup=B, donor_country=Germany"
0.20914095399332,6,"d_bloodgroup=B, donor_country=Germany"
0.27248981490195,7,"d_bloodgroup=B, donor_country=Germany"
0.373698168565636,8,"d_bloodgroup=B, donor_country=Germany"
0.472423077085941,9,"d_bloodgroup=B, donor_country=Germany"
0.617664775843576,10,"d_bloodgroup=B, donor_country=Germany"
0.711377292852272,11,"d_bloodgroup=B, donor_country=Germany"
0.900935181660048,12,"d_bloodgroup=B, donor_country=Germany"
0.969243121793927,13,"d_bloodgroup=B, donor_country=Germany"
1.12846861041974,14,"d_bloodgroup=B, donor_country=Germany"
1.2687684254137,15,"d_bloodgroup=B, donor_country=Germany"
1.43374971884877,16,"d_bloodgroup=B, donor_country=Germany"
1.68646465405794,19,"d_bloodgroup=B, donor_country=Germany"
1.84040164237127,20,"d_bloodgroup=B, donor_country=Germany"
2.07577409061655,21,"d_bloodgroup=B, donor_country=Germany"
2.85970690932377,26,"d_bloodgroup=B, donor_country=Germany"
0,1,"d_bloodgroup=B, donor_country=Austria"
0.0167273881328721,2,"d_bloodgroup=B, donor_country=Austria"
0.0443392962737113,3,"d_bloodgroup=B, donor_country=Austria"
0.219359000067466,7,"d_bloodgroup=B, donor_country=Austria"
0.00756451783421805,1,"d_bloodgroup=B, donor_country=Netherlands"
0.0171826953959818,2,"d_bloodgroup=B, donor_country=Netherlands"
0.0490960268204606,3,"d_bloodgroup=B, donor_country=Netherlands"
0.075559927569057,4,"d_bloodgroup=B, donor_country=Netherlands"
0.135695547873061,7,"d_bloodgroup=B, donor_country=Netherlands"
0.210689500628189,8,"d_bloodgroup=B, donor_country=Netherlands"
0.306995289579487,9,"d_bloodgroup=B, donor_country=Netherlands"
0.496467759706919,11,"d_bloodgroup=B, donor_country=Netherlands"
1.36327346095551,13,"d_bloodgroup=B, donor_country=Netherlands"
0.00714227321524941,1,"d_bloodgroup=B, donor_country=Hungary"
0.02074570553148,2,"d_bloodgroup=B, donor_country=Hungary"
0.0615803357875582,4,"d_bloodgroup=B, donor_country=Hungary"
0.125796221914927,8,"d_bloodgroup=B, donor_country=Hungary"
0.519452510882174,10,"d_bloodgroup=B, donor_country=Hungary"
0.814832642560053,11,"d_bloodgroup=B, donor_country=Hungary"
0,1,"d_bloodgroup=B, donor_country=Croatia"
0.0232335019831576,2,"d_bloodgroup=B, donor_country=Croatia"
0.877418869880655,9,"d_bloodgroup=B, donor_country=Croatia"
0,1,"d_bloodgroup=B, donor_country=Slovenia"
0.229409801591708,5,"d_bloodgroup=B, donor_country=Slovenia"
0,1,"d_bloodgroup=AB, donor_country=Belgium"
0.0453731937842134,3,"d_bloodgroup=AB, donor_country=Belgium"
0.155147911509308,4,"d_bloodgroup=AB, donor_country=Belgium"
0.381650533610968,8,"d_bloodgroup=AB, donor_country=Belgium"
0.00767246243006894,1,"d_bloodgroup=AB, donor_country=Germany"
0.0477393421069655,2,"d_bloodgroup=AB, donor_country=Germany"
0.0757390954663262,3,"d_bloodgroup=AB, donor_country=Germany"
0.0864172440696536,4,"d_bloodgroup=AB, donor_country=Germany"
0.103044740096294,5,"d_bloodgroup=AB, donor_country=Germany"
0.156856104975066,6,"d_bloodgroup=AB, donor_country=Germany"
0.199109843217902,7,"d_bloodgroup=AB, donor_country=Germany"
0.274855371257648,9,"d_bloodgroup=AB, donor_country=Germany"
0,1,"d_bloodgroup=AB, donor_country=Austria"
0.0421619620017231,2,"d_bloodgroup=AB, donor_country=Austria"
0.107901742071052,3,"d_bloodgroup=AB, donor_country=Austria"
0.199778324837996,4,"d_bloodgroup=AB, donor_country=Austria"
0,1,"d_bloodgroup=AB, donor_country=Netherlands"
0.207325510213059,8,"d_bloodgroup=AB, donor_country=Netherlands"
0.540895635429323,10,"d_bloodgroup=AB, donor_country=Netherlands"
0,1,"d_bloodgroup=AB, donor_country=Hungary"
0.0378172731945506,2,"d_bloodgroup=AB, donor_country=Hungary"
0.597684069304382,6,"d_bloodgroup=AB, donor_country=Hungary"
0,1,"d_bloodgroup=AB, donor_country=Croatia"
0.10713648925878,4,"d_bloodgroup=AB, donor_country=Croatia"
0.316570938165811,6,"d_bloodgroup=AB, donor_country=Croatia"
1.29353816841903,7,"d_bloodgroup=AB, donor_country=Croatia"
0,1,"d_bloodgroup=AB, donor_country=Slovenia"
0.0946675659644787,2,"d_bloodgroup=AB, donor_country=Slovenia"
0.238527168843353,5,"d_bloodgroup=AB, donor_country=Slovenia"
